"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec8 | Acc)","P(Sec9 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)","P(Sec8)","P(Sec9)"
0.1,0.005681818181818182,1584,9,3.7706805993548143e-13,0.9999402692635626,0.00005972705544583491,3.5955450775045446e-9,2.4252348410377406e-11,2.0085159095625396e-11,1.6139602837278376e-11,1.2202891562220253e-11,8.277114398507538e-12,4.36041992731892e-12,0.9999402692631856,0.00005972705544581239,3.595545077503189e-9,2.4252348410368262e-11,2.0085159095617822e-11,1.6139602837272292e-11,1.2202891562215652e-11,8.277114398504416e-12,4.360419927317276e-12
0.2,0.005681818181818182,1584,9,5.4122835770401e-13,0.9925075793726125,0.007436284170797375,0.000055715790696796894,4.174655505619645e-7,3.144008037482904e-9,3.649198023651677e-11,9.965672373108055e-12,6.546821742904985e-12,3.3431874229591315e-12,0.9925075793720752,0.0074362841707933496,0.00005571579069676673,4.174655505617385e-7,3.144008037481202e-9,3.649198023649701e-11,9.96567237310266e-12,6.546821742901441e-12,3.3431874229573216e-12
0.30000000000000004,0.005681818181818182,1584,9,2.9078405265267615e-13,0.9577372404242891,0.040476618738332006,0.0017106536043432266,0.0000722969399980612,0.0000030554664982888997,1.2913107706067594e-7,5.456389481754409e-9,2.2987108179809614e-10,9.306511882138254e-12,0.9577372404240105,0.04047661873832023,0.001710653604342729,0.00007229693999804017,0.0000030554664982880107,1.2913107706063838e-7,5.456389481752822e-9,2.2987108179802927e-10,9.306511882135546e-12
0.4,0.005681818181818182,1584,9,1.6405732207577708e-9,0.8905685252715818,0.09745622937895126,0.01066477912006894,0.0011670625011118776,0.0001277133463179778,0.000013975831836376923,0.0000015293357043556438,1.6720394944874458e-7,1.801046393334098e-8,0.890568523810539,0.09745622921906719,0.010664779102572589,0.001167062499197226,0.0001277133461084547,0.000013975831813448547,0.0000015293357018466566,1.6720394917443425e-7,1.8010463903793498e-8
0.5,0.005681818181818182,1584,9,3.897649967243933e-7,0.794348158710834,0.1633596532913925,0.033595314651139886,0.006908959205114402,0.0014208447147542695,0.0002921998257977024,0.00006008497931930301,0.000012326691738689597,0.000002457929921577298,0.7943478491017265,0.16335958961951777,0.03359530155686218,0.006908956512243941,0.001420844160958734,0.00029219971190843827,0.00006008495590028124,0.000012326686934176632,0.0000024579289635622502
0.6000000000000001,0.005681818181818182,1584,9,0.000019495009861959057,0.673255487655015,0.22000462666241816,0.0718925231979611,0.023492847883429053,0.007676936769213929,0.0025086409790066036,0.0008195342645112048,0.00026648609715837387,0.00008291649134933195,0.6732423625326435,0.22000033767005167,0.07189112165251235,0.023492389890127877,0.007676787107255903,0.0025085920730259777,0.0008195182876826359,0.00026648090200928165,0.00008291487489151537
0.7000000000000001,0.005681818181818182,1584,9,0.00036739663258839955,0.5313523905845505,0.24936249452040327,0.11702526369978639,0.05491970902187576,0.02577377136060903,0.012095505263075677,0.005673162188817905,0.0026404414625729716,0.0011572618983318257,0.5311571735055319,0.24927087957962263,0.11698226901197531,0.05489953170571839,0.025764302163802037,0.012091061415172567,0.005671077888133605,0.0026394713732710755,0.0011568367242073558
0.8,0.005681818181818182,1584,9,0.003412247161543567,0.37590928132845197,0.23697991423014492,0.14939636307198442,0.09418219391252151,0.05937455409999613,0.03743043978160049,0.023573745256994922,0.014679429077080301,0.00847407924122758,0.3746265859502411,0.2361712801904703,0.14888658575614713,0.09386082098867557,0.05917195344630051,0.037302717869700394,0.02349330581165479,0.014629339236878956,0.008445163588390007
0.9,0.005681818181818182,1584,9,0.017561268042791192,0.2264210053037008,0.18292883259057333,0.14779086981421272,0.11940258052530316,0.0964684783862415,0.07793720640888782,0.06287135687094371,0.04994416769042418,0.03623550240972427,0.22244476533904423,0.17971637032869536,0.14519547473512806,0.11730571980369733,0.09477436957962049,0.07656853023663499,0.06176725612071908,0.049067084774438524,0.03559916103924189
1,0.005681818181818182,1584,9,0.053853955379201165,0.11319541175098254,0.11319540568070383,0.11319539638168617,0.11319573261111829,0.11319865489971856,0.11319622937375907,0.1129503009668949,0.11050677302942058,0.0973660953057265,0.10709939109741483,0.10709938535404463,0.10709937655581586,0.10709969467796314,0.10710245958976353,0.10710016468797084,0.1068674804985564,0.10455554620559465,0.09212254595368487
