"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)"
0.1,0.005681818181818182,440,2.5,2.7828904979043667e-11,0.9999402694324163,0.000059727026908304665,3.540701135611304e-9,0.9999402694045891,0.00005972702690664253,3.5407011355127703e-9
0.2,0.005681818181818182,440,2.5,0.000004682061649896336,0.9925136144551917,0.007435981918973163,0.00005040362582263952,0.9925089674452604,0.00743594710324739,0.00005040338982975604
0.30000000000000004,0.005681818181818182,440,2.5,0.00031643088631296435,0.9581840163258136,0.040482562419924324,0.0013334212542629486,0.9578808173082768,0.04046975248681757,0.0013329993185936338
0.4,0.005681818181818182,440,2.5,0.0028968828247190777,0.8949742453473316,0.0978793545191934,0.007146400133474179,0.8923816098274191,0.09759580949819216,0.007125697849668948
0.5,0.005681818181818182,440,2.5,0.011492514643606863,0.8130986644063299,0.16710208360597673,0.019799251987687085,0.803754116098943,0.16518166046315783,0.01957170879428613
0.6000000000000001,0.005681818181818182,440,2.5,0.029237829466200484,0.7244774504037874,0.23661040068282,0.038912148913388636,0.7032953022567737,0.22969242613772634,0.03777444213929558
0.7000000000000001,0.005681818181818182,440,2.5,0.056812810394514156,0.6381586113835092,0.299387060689947,0.062454327926535214,0.6019030271933514,0.2823780403763982,0.05890612203572816
0.8,0.005681818181818182,440,2.5,0.09255265089553961,0.5593027034062767,0.35256334066010386,0.08813395593362904,0.5075377555529841,0.31993266887342403,0.07997692467806099
0.9,0.005681818181818182,440,2.5,0.1336438303429579,0.48997184029676927,0.39589635314263427,0.11413180656061013,0.42449012679932097,0.3429872480898443,0.09887879476788866
1,0.005681818181818182,440,2.5,0.17725677562953118,0.43032634441013307,0.43041152377073744,0.1392621318191227,0.3540480841315498,0.35411816487334324,0.1145769753655703
1.1,0.005681818181818182,440,2.5,0.22114416990002023,0.37957922204530853,0.45755158041355387,0.16286919754113338,0.2956374900748033,0.3563667159765561,0.126851624048617
1.2000000000000002,0.005681818181818182,440,2.5,0.263778726739875,0.33658874143146333,0.47874786390287133,0.1846633946656603,0.2478037917816949,0.35246436193313696,0.1359531195452894
1.3,0.005681818181818182,440,2.5,0.30425452591278623,0.3001713869785879,0.49524817824527156,0.20458043477614543,0.20884288394083414,0.3445666785640854,0.1423359115822976
1.4000000000000001,0.005681818181818182,440,2.5,0.3421197283082369,0.26924312191678684,0.5080747198120333,0.22268215827118412,0.17712973819775424,0.33425233470965693,0.1464981987843548
1.5,0.005681818181818182,440,2.5,0.37722176322650885,0.2428683392298645,0.5180382069024484,0.23909345386768435,0.1512531160736811,0.32262292107600776,0.1489021996238005
1.6,0.005681818181818182,440,2.5,0.4095899926305204,0.2202642739511699,0.5257709734710018,0.2539647525778197,0.13004623160674328,0.3104204443216726,0.1499433314410586
1.7000000000000002,0.005681818181818182,440,2.5,0.43935548957563786,0.2007866361261343,0.5317623879447279,0.2674509759291324,0.1125699253106911,0.2981296636513617,0.1499449214623063
1.8,0.005681818181818182,440,2.5,0.46669965399666147,0.18390927143209124,0.5363902361985258,0.27970049236938077,0.09807887808795616,0.2860570985574863,0.14916436935789493
1.9000000000000001,0.005681818181818182,440,2.5,0.49182290503585857,0.16920369639308344,0.5399463809126276,0.2908499226942838,0.08598544289023172,0.27438838328858084,0.14780326878532624
2,0.005681818181818182,440,2.5,0.5149265119534255,0.1563208429496042,0.5426569152602857,0.3010222417901106,0.07582709654394527,0.26322848269790117,0.14601790880472826
