"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)"
0.1,0.005681818181818182,704,4,-2.1119564430627236e-13,0.9999402694216061,0.00005972701698486672,3.563269268506905e-9,-1.828281395210915e-12,0.9999402694218172,0.00005972701698487933,3.5632692685076575e-9,-1.828281395211301e-12
0.2,0.005681818181818182,704,4,3.0367963658062963e-9,0.9925075831493748,0.00743628401020358,0.00005571556518213233,4.172752632537662e-7,0.9925075801353314,0.0074362839876211,0.000055715565012935504,4.1727526198658623e-7
0.30000000000000004,0.005681818181818182,704,4,0.0000027488732228744426,0.9577409847265964,0.04047666519671457,0.0017104083370173646,0.00007194173967090072,0.957738352018049,0.04047655393149346,0.0017104036353216868,0.00007194154191217893
0.4,0.005681818181818182,704,4,0.0001046710131383735,0.8907237750274691,0.09747052101153916,0.010657333763277163,0.0011483701976817873,0.8906305420675105,0.09746031867335375,0.010656218249354806,0.001148249996609738
0.5,0.005681818181818182,704,4,0.001060700713897985,0.7960342551861819,0.1636883140468382,0.033581349617173725,0.006696081149825615,0.7951899010834187,0.16351468973527197,0.033545729855661136,0.0066889786117696765
0.6000000000000001,0.005681818181818182,704,4,0.0052731953096401074,0.6821449062558964,0.22284620489635268,0.07246239412191995,0.022546494725844447,0.6785478229357329,0.22167109333392213,0.07208028576511094,0.022427602655607295
0.7000000000000001,0.005681818181818182,704,4,0.016756327938077856,0.5608502870489159,0.2630559512457579,0.12243327755382086,0.053660484151508626,0.5514524957149591,0.25864809946062095,0.12038174540459531,0.05276133148174991
0.8,0.005681818181818182,704,4,0.039094165097863606,0.4447655143375995,0.28011396602019356,0.1744276547555429,0.10069286488664225,0.4273777778902491,0.2691631443863827,0.16760855122289653,0.09675636140258699
0.9,0.005681818181818182,704,4,0.07300061158876722,0.3433535089139999,0.27698068721454433,0.22002976517648448,0.159636038694982,0.3182884927721287,0.25676092764960556,0.20396745775086828,0.1479825102386402
1,0.005681818181818182,704,4,0.11593970076349398,0.26080914751491197,0.26024251752681893,0.25461252046951616,0.22433581448875176,0.2305710129956511,0.2300700779188212,0.22509282103564146,0.19832638728639118
1.1,0.005681818181818182,704,4,0.1638199208778983,0.19683156345670885,0.23652379112608515,0.277422848593186,0.28922179682402854,0.1645866323049578,0.19777648237806933,0.2319754594869291,0.24184150495215262
1.2000000000000002,0.005681818181818182,704,4,0.21285554508116092,0.14869762219006516,0.21068637093469852,0.29003529557418584,0.3505807113010494,0.11704650876652631,0.1658406086082216,0.22829967464196688,0.2759576629021234
1.3,0.005681818181818182,704,4,0.2604276432900836,0.1130195840263238,0.1856222454564964,0.294823981239521,0.4065341892776552,0.08358616011272271,0.13728108153004762,0.21804366661991276,0.3006614484472307
1.4000000000000001,0.005681818181818182,704,4,0.3050882110249276,0.08669209173358264,0.16274230554021935,0.2940709534052561,0.4564946493209414,0.06024335655657499,0.11309154668488167,0.20435337231645165,0.3172235134171637
1.5,0.005681818181818182,704,4,0.34623077989439016,0.06721829432058984,0.14254458090122385,0.2896233099201326,0.5006138148580568,0.04394525185480136,0.09319125948607411,0.1893468054508904,0.3272859033138459
1.6,0.005681818181818182,704,4,0.38375386274871875,0.052718601807159836,0.12503811497526354,0.28284932935814483,0.5393939538594219,0.03248763472495067,0.07705425536268776,0.1743048066410722,0.33239944052256465
1.7000000000000002,0.005681818181818182,704,4,0.4178202524760587,0.04182456785698309,0.11000512489262994,0.2747115856126618,0.5734587216377377,0.024349416355276363,0.06404275583633093,0.15993152155388102,0.3338560537784603
1.8,0.005681818181818182,704,4,0.44871041602645495,0.033554984836645006,0.09714576144751973,0.26586500724048423,0.6034342464753559,0.018498513630832637,0.05355544641319639,0.14656860923473009,0.33266701469478854
1.9000000000000001,0.005681818181818182,704,4,0.47674159444825565,0.0272095576844011,0.0861509530488152,0.25674416900255187,0.6298953202642427,0.014237629769707934,0.04507921032908624,0.13434354450698288,0.329598020945973
2,0.005681818181818182,704,4,0.5022267347407989,0.02228762029852075,0.07673517158405964,0.24763076136741705,0.6533464467499808,0.011094181530851923,0.038196716919622425,0.1232639726644812,0.32521839414423465
