"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)"
0.1,0.005681818181818182,792,4.5,-2.202491661273953e-14,0.999940269411042,0.000059727022563897744,3.566833080420642e-9,-2.5942654635002214e-13,-1.5992730334242268e-13,0.999940269411064,0.00005972702256389906,3.5668330804207204e-9,-2.5942654635002785e-13,-1.5992730334242619e-13
0.2,0.005681818181818182,792,4.5,2.6331703744525425e-10,0.9925075797963862,0.007436284166227313,0.000055715775977021535,4.174308443610222e-7,2.830553318821002e-9,0.9925075795350419,0.0074362841642692116,0.00005571577596235061,4.174308442511055e-7,2.8305533180756688e-9
0.30000000000000004,0.005681818181818182,792,4.5,5.651111634878171e-7,0.9577380136479946,0.04047666181046865,0.0017106694328173071,0.0000722745175710542,0.000002380591171744718,0.9577374724195513,0.04047663893665519,0.0017106684660989134,0.00007227447672791748,0.000002380589826446071
0.4,0.005681818181818182,792,4.5,0.000034623995844608934,0.8906198838630641,0.09746217145412354,0.010666253546739125,0.0011665207341550077,0.00008517040190303703,0.8905890470439061,0.0974587969243041,0.010665884238420645,0.0011664803445459557,0.00008516745296339545
0.5,0.005681818181818182,792,4.5,0.0004807371098651978,0.7951113282615249,0.1635190665014836,0.03363757076672947,0.006912947231923472,0.0008190872383241725,0.7947290887395553,0.1634404568180458,0.033621399938176186,0.006909623921650546,0.000818693472692493
0.6000000000000001,0.005681818181818182,792,4.5,0.0030042048558510687,0.6782928878683057,0.22166014393666109,0.07248177243743038,0.023672153232536765,0.0038930425250696924,0.6762551570808824,0.22099423145589792,0.07226402234471316,0.023601037234847126,0.003881347027811843
0.7000000000000001,0.005681818181818182,792,4.5,0.01133928409271489,0.5509885374058383,0.25860136378658916,0.12151184424656868,0.057006319808976684,0.01189193475204329,0.544740721848364,0.25566900945584947,0.1201339869240271,0.05635990895358253,0.011757088725477842
0.8,0.005681818181818182,792,4.5,0.03007133256719895,0.42686888737636014,0.2691508037309459,0.17001700854632357,0.10717231319784601,0.026790987148502487,0.41403237110147545,0.2610570804012238,0.16490437054024676,0.10394949892567758,0.025985346464156317
0.9,0.005681818181818182,792,4.5,0.06152619636442581,0.3180089295579263,0.2569944554121869,0.2082363735853887,0.16825460998874886,0.04850563145576348,0.2984430497123045,0.24118256408392805,0.19542438157395817,0.15790254381536123,0.045521264450035716
1,0.005681818181818182,792,4.5,0.10395435874279518,0.2307094251048162,0.23080504002832605,0.23172451173685849,0.23177037959064414,0.07499064353936426,0.20672617476212612,0.20681185009757624,0.20763573871426605,0.2076768384047245,0.06719503927852011
1.1,0.005681818181818182,792,4.5,0.15289222412123424,0.16516190033986003,0.19917308326964364,0.24128523240341335,0.2908495328627771,0.10353025112430089,0.13990993005680918,0.16872106758346403,0.20439459657364656,0.24638090089876508,0.08770128076607661
1.2000000000000002,0.005681818181818182,792,4.5,0.2037348453334416,0.11795861001025236,0.1679131660945416,0.24036752010130835,0.34188736174274864,0.13187334205116963,0.09392633084406585,0.1337034031708217,0.1913962805702854,0.2722329929766314,0.10500614710477056
1.3,0.005681818181818182,792,4.5,0.2532148224364935,0.08469949943748543,0.13993445683504768,0.23274270076185283,0.38399862062920626,0.15862472233642316,0.06325233072696268,0.10450097819481392,0.17380879911505032,0.28676447809072336,0.11845859143596768
1.4000000000000001,0.005681818181818182,792,4.5,0.29955541940389935,0.06143910192957365,0.11618164353202698,0.2214199578919687,0.4178301093286238,0.18312918731781033,0.04303468598326129,0.0813788025767563,0.15509240954124626,0.2926668356891107,0.1282718468057284
1.5,0.005681818181818182,792,4.5,0.34205055937289613,0.04513874393222795,0.09657043150354824,0.2084516671369187,0.44462743975872604,0.20521171766858015,0.02969901132081946,0.06353846138887762,0.1371506577905229,0.2925423752767151,0.13501893485016947
1.6,0.005681818181818182,792,4.5,0.38061264943350814,0.033626687141478116,0.08059455942362677,0.1951054140071643,0.46571675747316715,0.22495658195458038,0.020827944656888447,0.04991925063147387,0.12084582546307601,0.28845906852572245,0.13933526128934143
1.7000000000000002,0.005681818181818182,792,4.5,0.415458316668806,0.025406291322466683,0.06764340988436685,0.18210349962814498,0.482282056633584,0.24256474253145882,0.014851036296837383,0.03954039268006972,0.10644708621313734,0.28191396522502543,0.14178920291613661
1.8,0.005681818181818182,792,4.5,0.44692676795868613,0.019461746656493348,0.057141988241379574,0.16982113435755222,0.49530074074321945,0.2582743900013444,0.010763771124476011,0.031603704121926555,0.09392352364805362,0.2739375815153093,0.14284465163154234
1.9000000000000001,0.005681818181818182,792,4.5,0.4753859048658798,0.015105689229055747,0.04859935976882911,0.15842456662256316,0.5055490702609362,0.2723213141186324,0.007924657486278307,0.025495909149221854,0.08311176066571112,0.26521816804083687,0.14286359979208088
2,0.005681818181818182,792,4.5,0.5011883878658666,0.011871117986424653,0.041615560212747114,0.1479597603257384,0.513631999461767,0.2849215620133452,0.005921451500642988,0.020758324679585487,0.07380404657906156,0.25620560569520234,0.14212218367965218
