"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)"
0.1,0.005681818181818182,1144,6.5,4.933688006747428e-13,0.9999402693129591,0.00005972705253276095,3.5914154819035305e-9,1.888150924742731e-11,1.3461043244022634e-11,8.281640297060114e-12,2.4856787093052496e-12,0.9999402693124657,0.00005972705253273148,3.5914154819017587e-9,1.8881509247417995e-11,1.3461043244015992e-11,8.281640297056028e-12,2.4856787093040233e-12
0.2,0.005681818181818182,1144,6.5,3.23267888152623e-14,0.9925075794870674,0.007436284146408791,0.00005571576835275669,4.1744635381220076e-7,3.127969381117646e-9,2.361913095703345e-11,2.153793958367184e-13,0.9925075794870352,0.00743628414640855,0.00005571576835275488,4.174463538121872e-7,3.1279693811175446e-9,2.3619130957032685e-11,2.1537939583671142e-13
0.30000000000000004,0.005681818181818182,1144,6.5,1.0106125552839136e-9,0.9577372416963933,0.04047661882179451,0.0017106536371873202,0.0000722969806321741,0.0000030555084838283916,1.2910131082400935e-7,4.254274400937895e-9,0.9577372407284919,0.040476618780888325,0.001710653635458512,0.00007229698055910985,0.000003055508480740456,1.2910131069353792e-7,4.254274396638471e-9
0.4,0.005681818181818182,1144,6.5,4.1462164918000836e-7,0.8905691379421289,0.09745629611207667,0.01066478652832085,0.0011670672004973923,0.00012772375780260314,0.000013968580357657737,0.0000010198788301627388,0.8905687686928841,0.09745625570458645,0.010664782106469472,0.0011670667166060649,0.00012772370484556803,0.000013968574565981912,0.0000010198784072988962
0.5,0.005681818181818182,1144,6.5,0.000020322430333852672,0.7943798253818984,0.16336615784190966,0.03359664741175072,0.006909337377072696,0.0014213224762281852,0.0002920997858566695,0.00003460972528035545,0.7943636816532385,0.163362837844548,0.03359596464622424,0.006909196962545197,0.00142129359150118,0.00029209384967912084,0.00003460902192662456
0.6000000000000001,0.005681818181818182,1144,6.5,0.0003195133839762721,0.6737606020935453,0.2201696289061542,0.07194636993214355,0.023511440263728,0.0076881248586167265,0.0025108998246365774,0.0004129341212231614,0.6735453265635805,0.2200992817629736,0.07192338210402173,0.02350392804388718,0.007685668399826718,0.0025100975585367826,0.00041280218324473014
0.7000000000000001,0.005681818181818182,1144,6.5,0.0024468892029197763,0.5350413931738214,0.251093506671755,0.11783721875083025,0.05530580656566589,0.02598714273389358,0.012191662289093748,0.002543269814919826,0.5337322061657492,0.25047910868135664,0.11754888413256676,0.05517047938472159,0.02592355507492328,0.01216183064227292,0.002537046715469587
0.8,0.005681818181818182,1144,6.5,0.01114348014690303,0.3904063460587844,0.24611853754559296,0.15515621852191333,0.09782961971392179,0.06179695197170417,0.0389544690154295,0.009737857172631221,0.38605586069225334,0.24337592050866882,0.15342723828114582,0.09673945728886062,0.06110831886426836,0.03852038066332291,0.009629343554554626
0.9,0.005681818181818182,1144,6.5,0.03368270040499623,0.2590401171296609,0.2092812160980602,0.16907856368895258,0.13663846942144792,0.11071483748140566,0.0894573867171314,0.025789409463355856,0.2503149464715074,0.20223205959583596,0.16338354108331052,0.13203611679212807,0.10698566278013164,0.08644422036132438,0.024920752510779867
1,0.005681818181818182,1144,6.5,0.0735457078707705,0.1578710743286568,0.1578695409723761,0.15786508926857679,0.15793051467574665,0.15855967182006306,0.1585910573286933,0.051313051605868555,0.14626033441483668,0.14625891383032907,0.1462547895302369,0.14631540317952374,0.14689828851629944,0.1469273657554806,0.04753919690250557
1.1,0.005681818181818182,1144,6.5,0.12610512128803558,0.09091474072310904,0.1095699210947518,0.13204947259915123,0.15924193502526554,0.19291124418496408,0.23253866263124012,0.08277402374153965,0.07944992631735107,0.09575259290557764,0.11539735784101413,0.13916071149476295,0.16858414833919333,0.20321434637597,0.07233579543811405
1.2000000000000002,0.005681818181818182,1144,6.5,0.1831370707659246,0.05109471585792913,0.07267255064581889,0.10335919529165913,0.1471310125181976,0.21061788918146382,0.299572897525256,0.11555173897969102,0.041737379264090754,0.05936351259545532,0.08443029502922153,0.1201858698667903,0.1720459459058684,0.24470999459162013,0.0943899319810417
1.3,0.005681818181818182,1144,6.5,0.23853215960645405,0.028731991377124677,0.04741699648987299,0.07824971828062635,0.12927858957855323,0.21501957966576296,0.3547575143275329,0.1465456102805411,0.021878487424145113,0.03610651791509194,0.059584643990551925,0.09844148841550451,0.16373049497041653,0.2701364382983689,0.11158976937947787
1.4000000000000001,0.005681818181818182,1144,6.5,0.28946475727678916,0.016413676493781067,0.030994893937836176,0.05852636193738874,0.11067363790128487,0.2109227542233992,0.3980213811630431,0.17444729434328116,0.01166249561148899,0.0220229644873006,0.041585042784889,0.07863752016925019,0.1498680503679711,0.2828082186737104,0.12395095062861067
1.5,0.005681818181818182,1144,6.5,0.3352060951103978,0.00959910777311007,0.020500589405297896,0.043780081405876026,0.09366369075730134,0.20217733508000008,0.4312442884675937,0.19903490711079097,0.006381428339941977,0.013628666883286396,0.02910473127419699,0.062267050724918505,0.13440626006800682,0.2866885744917097,0.132317193107522
1.6,0.005681818181818182,1144,6.5,0.3759691490050347,0.005764316986790101,0.013786108394272602,0.03296927110369065,0.07901890150347073,0.19129102016919727,0.45661179675749547,0.22055858508510492,0.0035971116346713607,0.008602956953186766,0.02057384230351979,0.049310232349898175,0.11937149810387923,0.28493984810492,0.13763536154490347
1.7000000000000002,0.005681818181818182,1144,6.5,0.41228435118793544,0.0035558474817350425,0.009443078990877277,0.02507603681256876,0.06676411817457052,0.17973634962603402,0.4760129076374319,0.23941166127678606,0.002089827209804656,0.005549845295907014,0.014737579244934062,0.03923831703033306,0.10563386533557664,0.27976023485505064,0.14070597984046054
1.8,0.005681818181818182,1144,6.5,0.4447326610264525,0.0022512968520803996,0.006590067606827248,0.019289678265207506,0.056636775099842204,0.1683196838159817,0.49092160637353577,0.25599089198653785,0.0012500716122942077,0.0036592493036987405,0.010710928319977648,0.03144855139773266,0.09346242292936904,0.27259273401565254,0.1421433813948297
1.9000000000000001,0.005681818181818182,1144,6.5,0.4738492019510096,0.0014607329658640766,0.00468301485171127,0.015012883683300678,0.04830077755792371,0.1574512460369953,0.5024431042644518,0.27064824063974613,0.0007685658157258525,0.002463972001503159,0.007899040730985317,0.025413492658488322,0.08284309875617302,0.26436084028295337,0.1424017878031576
2,0.005681818181818182,1144,6.5,0.5000972523223212,0.0009696487167343527,0.003385391591773444,0.011819418789331517,0.04143432277071122,0.14731538960546617,0.511395111400166,0.28368071712585213,0.0004847300577776382,0.0016923665586924554,0.005908559928740009,0.020713131801242353,0.0736433680389803,0.25564782133787567,0.14181276995438785
