"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec1)"
0.1,0.005681818181818182,88,0.5,0.007726373107937122,0.9999999999999986,0.9922736268920614
0.2,0.005681818181818182,88,0.5,0.0849963310080066,0.9999999999999994,0.9150036689919928
0.30000000000000004,0.005681818181818182,88,0.5,0.1918425437417822,1.0000000000000004,0.8081574562582181
0.4,0.005681818181818182,88,0.5,0.2890356205474459,0.9999999999999996,0.7109643794525538
0.5,0.005681818181818182,88,0.5,0.3699598242505799,0.9999999999999994,0.6300401757494197
0.6000000000000001,0.005681818181818182,88,0.5,0.43630560143390834,0.9999999999999983,0.5636943985660906
0.7000000000000001,0.005681818181818182,88,0.5,0.49095518945258826,1.000000000000001,0.5090448105474122
0.8,0.005681818181818182,88,0.5,0.5364451317276301,1.0000000000000007,0.4635548682723702
0.9,0.005681818181818182,88,0.5,0.5747562426634536,0.9999999999999997,0.42524375733654624
1,0.005681818181818182,88,0.5,0.607389566920002,0.9999999999999977,0.3926104330799971
1.1,0.005681818181818182,88,0.5,0.6354794332159456,0.9999999999999966,0.36452056678405315
1.2000000000000002,0.005681818181818182,88,0.5,0.6598891961979808,1.0000000000000018,0.34011080380201975
1.3,0.005681818181818182,88,0.5,0.6812831184191572,0.9999999999999982,0.3187168815808422
1.4000000000000001,0.005681818181818182,88,0.5,0.7001784202718795,1.0000000000000018,0.29982157972812107
1.5,0.005681818181818182,88,0.5,0.71698266922297,1.000000000000005,0.2830173307770314
1.6,0.005681818181818182,88,0.5,0.7320207305081735,1.0000000000000022,0.2679792694918271
1.7000000000000002,0.005681818181818182,88,0.5,0.7455543579237962,1.0000000000000027,0.25444564207620446
1.8,0.005681818181818182,88,0.5,0.7577965854451909,0.9999999999999922,0.2422034145548072
1.9000000000000001,0.005681818181818182,88,0.5,0.7689224193214348,1.0000000000000058,0.23107758067856654
2,0.005681818181818182,88,0.5,0.7790768720958341,0.9999999999999982,0.22092312790416552
