"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec8 | Acc)","P(Sec9 | Acc)","P(Sec10 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)","P(Sec8)","P(Sec9)","P(Sec10)"
0.1,0.005681818181818182,1760,10,-3.0894958900212766e-13,0.9999402695529568,0.00005972699429289946,3.54166916850458e-9,-2.2358791613798172e-11,-1.927876966182613e-11,-1.6000854192718198e-11,-1.2727937187428277e-11,-9.463704826404901e-12,-6.203829906047055e-12,-2.9565715449325687e-12,0.9999402695532656,0.00005972699429291791,3.541669168505674e-9,-2.2358791613805077e-11,-1.9278769661832084e-11,-1.6000854192723142e-11,-1.2727937187432208e-11,-9.463704826407824e-12,-6.203829906048971e-12,-2.956571544933482e-12
0.2,0.005681818181818182,1760,10,2.345979855690461e-13,0.9925075794264786,0.007436284157911649,0.000055715779115273746,4.1745580919830955e-7,3.136112445247567e-9,3.04482544761452e-11,5.769786592134449e-12,4.174462743523751e-12,2.7633860504772018e-12,1.3730834080800226e-12,0.9925075794262457,0.0074362841579099035,0.00005571577911526067,4.1745580919821156e-7,3.136112445246831e-9,3.0448254476138055e-11,5.769786592133095e-12,4.1744627435227714e-12,2.763386050476553e-12,1.3730834080797003e-12
0.30000000000000004,0.005681818181818182,1760,10,1.1581405322605431e-12,0.957737240195988,0.04047661877400065,0.0017106536463342024,0.00007229697722997661,0.000003055498499719173,1.2915782475538604e-7,5.4778725380835776e-9,2.4607310506896607e-10,2.020789079421914e-11,5.965241488847664e-12,0.9577372401948788,0.04047661877395377,0.0017106536463322212,0.00007229697722989289,0.000003055498499715634,1.2915782475523646e-7,5.477872538077233e-9,2.4607310506868105e-10,2.0207890794195736e-11,5.9652414888407545e-12
0.4,0.005681818181818182,1760,10,1.8232864705341155e-10,0.8905685225427176,0.09745622919479824,0.010664779201776465,0.001167062597953892,0.00012771343087269438,0.000013975908586665622,0.0000015294352364229973,1.6738757808607636e-7,1.8318177639790292e-8,1.9823795315782326e-9,0.8905685223803415,0.09745622917702917,0.01066477919983197,0.001167062597741103,0.00012771343084940856,0.000013975908584117415,0.0000015294352361441375,1.673875780555568e-7,1.8318177636450365e-8,1.982379531216788e-9
0.5,0.005681818181818182,1760,10,8.015606638994704e-8,0.7943476668952049,0.1633595521392545,0.03359529383449744,0.0069089548388106955,0.0014208435792499828,0.00029220003004136046,0.00006009157547124379,0.000012356615844386842,0.0000025350126789325413,5.054788871035063e-7,0.7943476032234207,0.1633595390449954,0.033595291141630845,0.006908954285016053,0.0014208434653607508,0.00029220000661975547,0.00006009157065453948,0.000012356614853929125,0.000002535012475735897,5.054788465863071e-7
0.6000000000000001,0.005681818181818182,1760,10,0.0000063704018658426,0.6732333976517124,0.2199974082074146,0.07189016435473343,0.023492075540558485,0.0076766780836371815,0.002508566545787064,0.000819740090329813,0.0002677964280250777,0.00008707875721886402,0.000027094340586181482,0.67322910888442,0.2199960067355149,0.0718897063854963,0.02349192588659663,0.007676629180112795,0.00250855056521006,0.0008197348682560121,0.000267794722054213,0.00008707820249218657,0.00002709416798434366
0.7000000000000001,0.005681818181818182,1760,10,0.0001723400169767388,0.5310071476961268,0.24920047322621,0.11694922755972618,0.05488401221530442,0.0257569509845596,0.012087714548131793,0.0056727055163105005,0.0026606725190106953,0.0012383481747994234,0.0005427475597983529,0.5309156339152781,0.2491575260124236,0.11692907252786314,0.05487455350370749,0.025752512031189653,0.012085631351201359,0.005671727882145516,0.0026602139786635996,0.0012381347578539555,0.0005426540226746831
0.8,0.005681818181818182,1760,10,0.0021403446785964557,0.3735458128586931,0.23548994317155428,0.14845705949824253,0.09358997718712342,0.05900082974773198,0.037195438052317134,0.023448455757531413,0.014767871451536888,0.00919598983479366,0.005308622440508855,0.372746296065929,0.23498591352482406,0.1481393102209454,0.093389662377481,0.05887454763574865,0.03711582699441379,0.023398267980029475,0.014736263116461394,0.009176307246886332,0.005297260158717634
0.9,0.005681818181818182,1760,10,0.013769957672827252,0.21890477698142585,0.17685636565178703,0.14288483729856707,0.11543874242098877,0.09326478526322657,0.07535106763513638,0.060876379615316584,0.04910851650964403,0.039011150793718356,0.02830337783018853,0.21589046746801194,0.17442106098259186,0.140917319136877,0.11384915582404734,0.09198053311778662,0.07431348662319821,0.06003811444473871,0.04843229431593089,0.038473968898520575,0.027913641515468796
1,0.005681818181818182,1760,10,0.04864419201643868,0.1016851228124192,0.10168512239445164,0.10168511694527595,0.10168510859518688,0.10168541063797057,0.10168803577571245,0.1016858568916114,0.10146493574648137,0.0992698782483149,0.08746541195258238,0.09673873217311674,0.09673873177548087,0.09673872659137592,0.09673871864747019,0.09673900599762672,0.0967415034376642,0.09673943054361975,0.09652925592909392,0.09444097522935538,0.08321072765876406
